caseid_new,w4_xqualified,w4_status,w4_complete,w4_source,w4_duration,w4_HCMST_interview_fin_yrmo,w4_xtype,w4_xyear,w4_xmonth,w4_xmarry,w4_xlast,w4_xwave1_month,w4_xcivil,w4_xss,w4_q1,w4_q2,w4_quality,w4_attractive,w4_attractive_partner,w4_q3,w4_q4,w4_mbtiming_year,w4_mbtiming_month,w4_q5,w4_q6,w4_q7,w4_mar_year,w4_mar_month,w4_civ_year,w4_q8_a,w4_q8_b,w4_q9,w4_q10,w4_nonmbtiming_year,w4_nonmbtiming_month,relationship_quality_w4,w4_broke_up,w234_combo_breakup,pp4_ppeduc,pp4_ppeducat,pp4_ppethm,pp4_pphhhead,pp4_pphhsize,pp4_pphouse,pp4_ppincimp,pp4_ppmarit,pp4_ppmsacat,pp4_ppreg4,pp4_ppreg9,pp4_pprent,pp4_ppt01,pp4_ppt25,pp4_ppt612,pp4_ppt1317,pp4_ppt18ov,pp4_ppwork,pp4_ppnet,pp4_ppcmdate_yrmo,pp4_newer,ppa2009_services_yrmo,ppa2009_how_often_services
2725295,qualified for wave 4,Active,Yes,On-line,1,201305,different sex couple,2011,April,Unmarried partners,2,2,No,No,,,Good,slightly attractive,slightly attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,4,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$60,000 to $74,999",Living with partner,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201310,Yes,200903,A few times a year
2726401,qualified for wave 4,Withdrawn,Yes,On-line,1,201303,different sex couple,2011,May,Married,2,2,No,No,yes,yes,Excellent,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,1,0,3,Working - as a paid employee,Yes,201107,No,200905,
2727255,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"Black, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$85,000 to $99,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200710,No,200902,
2729365,qualified for wave 4,Withdrawn,No,,,,same-sex couple,2009,February,Married,4,2,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",No,2,A one-family house detached from any other house,"$30,000 to $34,999",Never married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200608,No,,
2730501,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009,February,Married,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A one-family house attached to one or more houses,"$60,000 to $74,999",Married,Metro,West,Mountain,Rented for cash,0,0,0,0,3,Working - as a paid employee,Yes,200612,No,,
2731205,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"Other, Non-Hispanic",No,2,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,1,1,Working - as a paid employee,Yes,201305,Yes,200902,More than once a week
2732375,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$25,000 to $29,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200902,Once a year or less
2733643,qualified for wave 4,Withdrawn,No,,,,same-sex couple,2011,June,Unmarried partners,2,2,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$175,000 or more",Divorced,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,200502,No,,
2734782,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,10th grade,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"Less than $5,000",Widowed,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,200904,No,200902,Once a year or less
2735421,qualified for wave 4,Withdrawn,No,,,,different sex couple,2011,April,Married,2,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,1,0,2,Working - as a paid employee,Yes,200904,No,200903,A few times a year
2736284,qualified for wave 4,Active,Yes,On-line,3,201303,different sex couple,2011,April,Married,2,2,No,No,yes,no,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"Black, Non-Hispanic",No,1,A one-family house detached from any other house,"Less than $5,000",Separated,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Not working - looking for work,Yes,201305,Yes,200903,Never
2737331,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010,March,Married,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"Black, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,1,0,2,Working - as a paid employee,Yes,201007,No,200902,Never
2739513,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",Associate degree,Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$60,000 to $74,999",Divorced,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201304,Yes,200902,Once or twice a month
2740543,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$60,000 to $74,999",Divorced,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,Yes,201107,No,200902,A few times a year
2741471,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009,February,Married,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,10th grade,Less than high school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$100,000 to $124,999",Married,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,1,1,0,2,Not working - other,Yes,200710,No,200904,
2743486,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Divorced,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200902,Never
2744281,qualified for wave 4,Active,No,,,,different sex couple,2011,April,Married,2,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,Hispanic,Yes,5,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,1,2,0,2,Working - as a paid employee,Yes,201209,Yes,200902,A few times a year
2745305,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009,February,Unmarried partners,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"Black, Non-Hispanic",No,5,A one-family house detached from any other house,"$10,000 to $12,499",Never married,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,1,2,2,Working - as a paid employee,Yes,200712,No,200902,A few times a year
2746506,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"broke up at wave 2, 3, or 4","Some college, no degree",Some college,"Black, Non-Hispanic",Yes,1,A building with 2 or more apartments,"$25,000 to $29,999",Never married,Metro,South,South Atlantic,Rented for cash,0,0,0,0,1,Working - as a paid employee,No,201305,Yes,200902,Once a week
2747491,qualified for wave 4,Withdrawn,Yes,On-line,2,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Fair,slightly attractive,slightly attractive,,,,,,,,,,,,,,,,,3,still together,"still together at w4, or some follow-up w/o break-up",11th grade,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201303,Yes,200904,Once a year or less
2748632,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$50,000 to $59,999",Widowed,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200710,No,200902,A few times a year
2749481,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009,February,Married,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,Hispanic,No,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,200905,No,200902,A few times a year
2751461,qualified for wave 4,Withdrawn,No,,,,different sex couple,2010,June,Married,3,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,6,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,6,Not working - other,Yes,200907,No,200812,
2753551,qualified for wave 4,Active,Yes,On-line,2,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Good,moderately attractive,very attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,Hispanic,Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,West,Pacific,Rented for cash,0,0,0,0,2,Working - self-employed,Yes,201305,Yes,200902,More than once a week
2754692,unqualified for wave 4,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$10,000 to $12,499",Widowed,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - looking for work,No,201305,Yes,200903,A few times a year
2755483,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"Less than $5,000",Divorced,Metro,South,South Atlantic,Rented for cash,0,0,0,0,5,Working - as a paid employee,Yes,201305,Yes,200902,Once a week
2756231,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,May,Married,2,2,No,No,yes,yes,Good,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",Associate degree,Some college,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,1,1,0,0,2,Working - self-employed,Yes,201211,Yes,200903,A few times a year
2757531,qualified for wave 4,Withdrawn,No,,,,different sex couple,2011,May,Married,2,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$100,000 to $124,999",Married,Metro,Northeast,,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,200911,No,200904,Once a week
2758456,qualified for wave 4,Withdrawn,Yes,On-line,5,201303,same-sex couple,2011,May,Unmarried partners,2,2,Yes,No,,,Good,moderately attractive,moderately attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$85,000 to $99,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,1,0,4,Working - as a paid employee,Yes,200712,No,,
2759424,qualified for wave 4,Do not call,No,,,,different sex couple,2009,February,Unmarried partners,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,1,A mobile home,"$35,000 to $39,999",Separated,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,200903,No,200903,
2760553,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,1,A one-family house detached from any other house,"$10,000 to $12,499",Divorced,Non-Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Not working - disabled,Yes,200904,No,200902,A few times a year
2762355,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009,February,Unmarried partners,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,3,A one-family house detached from any other house,"$60,000 to $74,999",Never married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,No,200904,No,200903,Once a week
2763486,qualified for wave 4,Active,Yes,On-line,2,201303,same-sex couple,2011,April,Unmarried partners,2,2,Yes,No,,,Excellent,slightly attractive,slightly attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$35,000 to $39,999",Living with partner,Non-Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201306,Yes,200903,
2764561,qualified for wave 4,Withdrawn,Yes,On-line,2,201304,different sex couple,2011,May,Married,2,3,No,No,yes,yes,Excellent,slightly attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",12th grade NO DIPLOMA,Less than high school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$40,000 to $49,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201304,Yes,200903,A few times a year
2765291,qualified for wave 4,Active,Yes,On-line,1,201304,different sex couple,2011,May,Married,2,2,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,7,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro,Midwest,East-North Central,Rented for cash,1,2,1,1,2,Not working - other,No,201305,Yes,200902,Once a year or less
2766495,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009,February,Unmarried partners,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,1,A one-family house detached from any other house,"Less than $5,000",Never married,Non-Metro,Midwest,East-North Central,Occupied without payment of cash rent,0,0,0,0,1,Not working - looking for work,Yes,200803,No,200902,A few times a year
2767503,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree,Some college,"White, Non-Hispanic",Yes,1,A one-family house attached to one or more houses,"$100,000 to $124,999",Divorced,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,1,Working - as a paid employee,Yes,201007,No,200903,Once a week
2768761,qualified for wave 4,Active,Yes,On-line,9,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Non-Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305,Yes,200902,More than once a week
2769621,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",5th or 6th grade,Less than high school,"Other, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$60,000 to $74,999",Married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201306,Yes,200903,A few times a year
2771331,qualified for wave 4,Withdrawn,Yes,On-line,2,201304,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,moderately attractive,very attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$175,000 or more",Married,Metro,Northeast,New England,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - self-employed,Yes,201106,No,200902,Once a week
2772385,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",No,3,A one-family house detached from any other house,"$40,000 to $49,999",Never married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,3,Working - as a paid employee,Yes,201008,No,200902,Never
2773391,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,April,Married,2,2,No,No,yes,no,Good,moderately attractive,slightly attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,3,A building with 2 or more apartments,"$175,000 or more",Separated,Metro,Northeast,New England,Rented for cash,0,1,1,0,1,Working - as a paid employee,Yes,201305,Yes,200902,
2775495,qualified for wave 4,Withdrawn,No,,,,same-sex couple,2011,May,Unmarried partners,2,2,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Associate degree,Some college,"2+ Races, Non-Hispanic",No,3,A mobile home,"$15,000 to $19,999",Never married,Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,3,Not working - disabled,Yes,200603,No,,
2776351,qualified for wave 4,Withdrawn,Yes,On-line,2,201304,different sex couple,2011,May,Married,2,2,No,No,yes,yes,Fair,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,3,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"Black, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,East-South Central,Owned or being bought by you or someone in your household,0,0,1,1,2,Working - as a paid employee,Yes,201112,Yes,200902,A few times a year
2777215,qualified for wave 4,Active,Yes,On-line,3,201303,different sex couple,2011,April,Unmarried partners,2,2,No,No,,,Good,slightly attractive,moderately attractive,,,,,Yes,Yes,"Yes, married [xnamep]",2012,March,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"2+ Races, Non-Hispanic",No,2,A one-family house detached from any other house,"$30,000 to $34,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200902,More than once a week
2778431,qualified for wave 4,Withdrawn,No,,,,different sex couple,2011,May,Married,2,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Married,Non-Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,2,0,2,Not working - other,Yes,200905,No,200905,Once a week
2779285,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"Other, Non-Hispanic",No,3,A mobile home,"$50,000 to $59,999",Never married,Non-Metro,West,Mountain,Owned or being bought by you or someone in your household,0,0,1,0,2,Working - as a paid employee,Yes,201008,No,200902,Once or twice a month
2780461,qualified for wave 4,Active,Yes,On-line,1,201304,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Good,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,2,A one-family house attached to one or more houses,"$60,000 to $74,999",Married,Metro,Northeast,Mid-Atlantic,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200902,
2781773,qualified for wave 4,Active,No,,,,different sex couple,2011,April,Unmarried partners,2,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$50,000 to $59,999",Divorced,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,4,Not working - retired,Yes,201206,Yes,200905,A few times a year
2783571,qualified for wave 4,Active,Yes,On-line,4,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,not at all attractive,very attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,Hispanic,Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Married,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Not working - retired,Yes,201305,Yes,200902,More than once a week
2784335,unqualified for wave 4,,,,,,different sex couple,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up","Some college, no degree",Some college,"Black, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$35,000 to $39,999",Never married,Metro,Midwest,East-North Central,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,No,200606,No,,
2785271,qualified for wave 4,Do not call,No,,,,different sex couple,2011,April,Married,2,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,"still together at w4, or some follow-up w/o break-up",Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$75,000 to $84,999",Married,Metro,South,West-South Central,Owned or being bought by you or someone in your household,0,2,1,0,2,Working - as a paid employee,Yes,201107,No,200902,More than once a week
2786666,qualified for wave 4,Active,Yes,On-line,1,201303,same-sex couple,2011,April,Unmarried partners,2,2,No,Yes,,,Good,moderately attractive,moderately attractive,,,,,Yes,Yes,"No, did not marry [xnamep]",,,,"No, we have not gotten a domestic partnership or civil union agreement",,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$60,000 to $74,999",Living with partner,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201206,Yes,200903,Once a year or less
2787225,unqualified for wave 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelors degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$40,000 to $49,999",Never married,Non-Metro,Midwest,West-North Central,Rented for cash,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,200902,More than once a week
2788351,qualified for wave 4,Active,Yes,On-line,7,201304,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Excellent,moderately attractive,moderately attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Professional or Doctorate degree,Bachelor's degree or higher,"2+ Races, Non-Hispanic",Yes,4,A one-family house attached to one or more houses,"$175,000 or more",Married,Metro,Northeast,Mid-Atlantic,Owned or being bought by you or someone in your household,0,2,0,0,2,Working - as a paid employee,Yes,201109,Yes,200905,A few times a year
2789491,qualified for wave 4,Withdrawn,No,,,,different sex couple,2009,February,Unmarried partners,4,2,No,No,,,,,,,,,,,,,,,,,,,,,,,,,HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A one-family house detached from any other house,"$85,000 to $99,999",Divorced,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,0,4,Working - as a paid employee,Yes,200904,No,200902,Never
2791391,qualified for wave 4,Withdrawn,Yes,On-line,2,201304,same-sex couple,2010,March,Married,3,2,No,Yes,no,,,moderately attractive,,divorce,[xname] wanted the [divorce/separation] more,2011,December,,,,,,,,,,,,,,broke up,"broke up at wave 2, 3, or 4","Some college, no degree",Some college,"White, Non-Hispanic",Yes,5,A one-family house detached from any other house,"$85,000 to $99,999",Married,Metro,South,South Atlantic,Owned or being bought by you or someone in your household,0,0,0,2,3,Not working - looking for work,Yes,200708,No,,
2792381,qualified for wave 4,Active,Yes,On-line,1,201303,different sex couple,2011,April,Married,2,2,No,No,yes,yes,Good,slightly attractive,slightly attractive,,,,,,,,,,,,,,,,,4,still together,"still together at w4, or some follow-up w/o break-up",HIGH SCHOOL GRADUATE - high school DIPLOMA or the equivalent (GED),High school,"White, Non-Hispanic",Yes,4,A building with 2 or more apartments,"$75,000 to $84,999",Married,Metro,Midwest,West-North Central,Owned or being bought by you or someone in your household,0,0,0,1,3,Working - as a paid employee,Yes,201305,Yes,200902,A few times a year
2793416,qualified for wave 4,Active,Yes,On-line,3,201303,same-sex couple,2011,April,Married,2,2,Yes,Yes,yes,yes,Excellent,moderately attractive,slightly attractive,,,,,,,,,,,,,,,,,5,still together,"still together at w4, or some follow-up w/o break-up",Masters degree,Bachelor's degree or higher,"White, Non-Hispanic",Yes,2,A one-family house detached from any other house,"$50,000 to $59,999",Living with partner,Metro,West,Pacific,Owned or being bought by you or someone in your household,0,0,0,0,2,Working - as a paid employee,Yes,201305,Yes,201003,
2794335,qualified for wave 4,Withdrawn,No,,,,same-sex couple,2009,February,Unmarried partners,4,2,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,"Some college, no degree",Some college,"White, Non-Hispanic",Yes,2,A building with 2 or more apartments,"$25,000 to $29,999",Never married,Metro,Northeast,,Rented for cash,0,0,0,1,1,Working - as a paid employee,No,200607,No,,
